,tweet_id,source_x,date,time,rating_numerator,rating_denominator,name,dog_stages,jpg_url,predicted dog breed,degree of confidence,number of retweets,number of likes
3,667453023279554560,Twitter Web Client,2015-19-11,21:22:56,11,10,Cupcake,None,https://pbs.twimg.com/media/CUNE_OSUwAAdHhX.jpg,Labrador_retriever,0.8256700000000001,74,279
4,667455448082227200,Twitter Web Client,2015-19-11,21:32:34,7,10,Reese,None,https://pbs.twimg.com/media/CUNHMXTU8AAS3HH.jpg,Tibetan_terrier,0.676376,53,171
5,667470559035432960,Twitter Web Client,2015-19-11,22:32:36,11,10,a,None,https://pbs.twimg.com/media/CUNU78YWEAECmpB.jpg,toy_poodle,0.304175,85,225
7,667495797102141441,Twitter Web Client,2015-20-11,00:12:54,9,10,Philippe,None,https://pbs.twimg.com/media/CUNr4-7UwAAg2lq.jpg,Chihuahua,0.143957,231,457
8,667502640335572993,Twitter Web Client,2015-20-11,00:40:05,11,10,Hall,None,https://pbs.twimg.com/media/CUNyHTMUYAAQVch.jpg,Labrador_retriever,0.996709,194,484
9,667517642048163840,Twitter Web Client,2015-20-11,01:39:42,8,10,Dook,None,https://pbs.twimg.com/media/CUN_wiBUkAAakT0.jpg,Italian_greyhound,0.125176,166,332
11,667530908589760512,Twitter Web Client,2015-20-11,02:32:25,10,10,Naphaniel,None,https://pbs.twimg.com/media/CUOL0uGUkAAx7yh.jpg,golden_retriever,0.633037,206,412
12,667405339315146752,Twitter for iPhone,2015-19-11,18:13:27,7,10,Biden,None,https://pbs.twimg.com/media/CUMZnmhUEAEbtis.jpg,Saint_Bernard,0.381377,197,411
13,667534815156183040,Twitter Web Client,2015-20-11,02:47:56,8,10,Frank,None,https://pbs.twimg.com/media/CUOPYI5UcAAj_nO.jpg,Pembroke,0.435254,446,719
14,667544320556335104,Twitter Web Client,2015-20-11,03:25:43,10,10,Kial,None,https://pbs.twimg.com/media/CUOYBbbWIAAXQGU.jpg,Pomeranian,0.412893,459,761
15,667546741521195010,Twitter Web Client,2015-20-11,03:35:20,9,10,George,None,https://pbs.twimg.com/media/CUOaOWXWcAA0_Jy.jpg,toy_poodle,0.787424,107,303
18,667728196545200128,Twitter Web Client,2015-20-11,15:36:22,11,10,Olive,None,https://pbs.twimg.com/media/CUQ_QahUAAAVQjn.jpg,kuvasz,0.360159,127,325
20,667773195014021121,Twitter Web Client,2015-20-11,18:35:10,8,10,a,None,https://pbs.twimg.com/media/CURoLrOVEAAaWdR.jpg,West_Highland_white_terrier,0.360465,44,204
24,667806454573760512,Twitter for iPhone,2015-20-11,20:47:20,10,10,Filup,None,https://pbs.twimg.com/media/CUSGbXeVAAAgztZ.jpg,Chihuahua,0.187155,417,931
26,667861340749471744,Twitter for iPhone,2015-21-11,00:25:26,9,10,a,None,https://pbs.twimg.com/media/CUS4WJ-UsAEJj10.jpg,malamute,0.967275,69,221
27,667538891197542400,Twitter Web Client,2015-20-11,03:04:08,9,10,a,None,https://pbs.twimg.com/media/CUOTFZOW4AABsfW.jpg,Yorkshire_terrier,0.618957,58,176
28,667393430834667520,Twitter for iPhone,2015-19-11,17:26:08,8,10,Fwed,None,https://pbs.twimg.com/media/CUMOyd3XIAAl13H.jpg,papillon,0.557009,50,168
